"au_code","au_name","Maori_2001","Maori_2006","Maori_2013","Total_2001","Total_2006","Total_2013","per_01","per_06","per_13"
520302,"Mt Wellington West",51,33,42,1971,2136,2958,0.0258751902587519,0.0154494382022472,0.0141987829614604
520303,"Mt Wellington North",66,63,63,2628,2937,3198,0.0251141552511416,0.0214504596527068,0.0196998123827392
520401,"Ferndale",129,105,69,3990,4266,4566,0.0323308270676692,0.0246132208157525,0.0151116951379763
520402,"Hamlin",180,135,126,4473,4779,5250,0.0402414486921529,0.0282485875706215,0.024
520500,"Mt Wellington South",330,276,210,5217,5553,5589,0.0632547441058079,0.0497028633171259,0.0375738056897477
520601,"Tamaki",282,273,258,4263,4407,4497,0.0661505981703026,0.0619469026548673,0.057371581054036
520602,"Panmure Basin",42,63,63,2049,2511,2778,0.020497803806735,0.025089605734767,0.0226781857451404
520801,"Waiheke Island",282,318,270,7137,7689,8238,0.0395124001681379,0.0413577838470542,0.032774945375091
520803,"Bays-Waiheke Island",NA,NA,NA,6,9,21,NA,NA,NA
520804,"Tidal-Waiheke Island",NA,NA,NA,9,0,0,NA,NA,NA
520900,"Islands-Motutapu Rangitoto Rakino",6,3,3,105,75,63,0.0571428571428571,0.04,0.0476190476190476
521000,"Great Barrier Island",45,39,36,1017,855,885,0.0442477876106195,0.0456140350877193,0.0406779661016949
521111,"Paerata-Cape Hill",24,21,30,741,876,1086,0.0323886639676113,0.023972602739726,0.0276243093922652
521112,"Eden Road-Hill Top",12,3,3,510,585,594,0.0235294117647059,0.00512820512820513,0.00505050505050505
521114,"Redoubt",6,3,3,198,195,198,0.0303030303030303,0.0153846153846154,0.0151515151515152
